a,b,c,d
0.3745401188473625,-0.5048968809121848,0.6981617140197451,0.18513292883861965
0.9507143064099162,3.1799874874620038,0.5360963663441204,0.5419009473783581
0.7319939418114051,1.7830993801824238,0.30952761628632774,0.8729458358764083
0.5986584841970366,1.2404088835377132,0.8137950197069487,0.7322248864095612
0.15601864044243652,2.2804261521701563,0.6847311725538793,0.8065611478614497
0.15599452033620265,2.6934374569272737,0.1626169393448913,0.6587833667107174
0.05808361216819946,2.1347731504591634,0.9109271844938425,0.6922765645178525
0.8661761457749352,2.8465220089317538,0.822537242923169,0.8491956515653193
0.6011150117432088,1.3978282002942237,0.949799913291924,0.24966800885918594
0.7080725777960455,2.1136302844724804,0.72571950838836,0.4894249636431405
0.020584494295802447,0.8424676728283895,0.6134151959357899,0.22120944181960223
0.9699098521619943,3.0858415801399763,0.4182430362906189,0.987668007996647
0.8324426408004217,2.7726618721495866,0.9327284833540133,0.9440593396866133
0.21233911067827616,0.25989616946552674,0.8660638895004084,0.0394268113685059
0.18182496720710062,1.2159930178051395,0.04521867010618941,0.7055751725156885
0.18340450985343382,1.8935636062513788,0.026366974497252005,0.9252483174156658
0.3042422429595377,-0.18108547388348795,0.3764633668780496,0.18057534512733353
0.5247564316322378,1.6114770793401216,0.8105533307818329,0.5679452305526295
0.43194501864211576,1.7686260602427406,0.9872761293149445,0.9154882975880418
0.2912291401980419,-0.19267356123824586,0.15041689110352818,0.03394597858579884
0.6118528947223795,2.0966405047927985,0.5941307153521351,0.6974202672468399
0.13949386065204183,1.430193018569443,0.3808908566310215,0.29734900737255077
0.29214464853521815,2.6000953422894355,0.9699143978146032,0.9243961953765304
0.3663618432936917,1.5232280318128386,0.8421189231357087,0.9710582451653678
0.45606998421703593,1.849788894158735,0.8383287047111379,0.9442664891134339
0.7851759613930136,2.203989988702049,0.4686931597949703,0.47421421665746377
0.19967378215835974,1.432515387367832,0.4148195023376652,0.8620426509893134
0.5142344384136116,2.09101666048524,0.27340707193070624,0.8445493985350704
0.5924145688620425,1.50564156486083,0.056375496650927115,0.31910047324325563
0.046450412719997725,1.2201091335895347,0.8647223762550532,0.8289154741506773
0.6075448519014384,0.7342478744054035,0.8129010091300776,0.03700763471549262
0.17052412368729153,0.6960511331922953,0.9997176732861306,0.596269878482053
0.06505159298527952,0.22438544558507878,0.9966368370739054,0.23000883728770305
0.9488855372533332,1.3499102758791592,0.5554317056026274,0.12056688577727881
0.9656320330745594,0.323041569567143,0.7689874151805105,0.07695320162920916
0.8083973481164611,2.42121226885294,0.944765729882428,0.6962887758781398
0.3046137691733707,0.9745447972461624,0.8496473906774115,0.33987496376806614
0.09767211400638387,1.8234506342724806,0.24734810174319766,0.7247667715287615
0.6842330265121569,0.9269027751423724,0.4505441353100935,0.06535634079894237
